time 2018-08-07 16:22:54
row  14
col  16
robRow  8 3 7 10 4
robCol  8 7 0 14 2
robReachRowLst  7 6 12 13 12 1 2 1 8 5 6 5 11 13 8 2 10 9 7 12 13 3 1 4 2 9 11 7 13 12 13 0 3 1 8 4 2 9 7 12 11 7 13 12 3 8 10 9 6 11 10 12 11 13 3 8 4 10 5 7 13 3 8 5 10 11 12 13 0 3 8 4 9 10 6 11 13 12 13 0 3 8 11 10 7 6 12 11 13 0 1 3 8 4 10 9 6 5 11 10 13 4 3 9 8 5 11 7 13 3 1 4 9 5 10 7 13 12 13 8 4 2 9 11 3 10 4
robReachColLst  3 9 1 4 12 6 5 11 5 8 7 5 5 7 15 6 13 3 5 11 10 12 12 15 11 9 15 8 0 8 13 14 11 15 9 12 12 4 2 2 10 15 3 13 6 6 9 7 4 4 4 7 9 6 5 3 6 10 7 4 9 15 0 13 15 14 9 12 15 10 10 13 11 0 15 13 2 14 15 12 9 7 7 5 0 8 0 8 5 6 7 4 4 7 11 1 6 6 2 6 8 9 3 15 1 12 1 10 11 13 13 14 10 15 1 9 1 15 14 8 3 15 5 6 7 14 2
robUnReachRowLst  0 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 5 6 5 4 4 4 4 4 4 4 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 8 8 8 8 8 9 9 9 9 9 9 9 10 10 10 10 10 11 11 11 11 12 12 12 12 12
robUnReachColLst  1 2 0 3 4 4 0 2 3 5 7 8 9 9 10 11 13 1 5 8 10 14 0 1 2 3 4 7 8 9 10 13 14 0 1 2 8 14 1 1 0 0 1 4 5 8 10 11 2 3 4 9 10 11 14 0 2 3 5 10 11 12 13 14 1 6 7 11 12 13 14 2 11 12 13 14 0 2 6 8 12 13 14 2 3 7 8 12 0 3 11 12 3 4 5 6 10
grid  1 1 1 1 1 0 1 0 0 1 1 0 1 0 1 1 1 0 1 1 1 0 1 1 0 1 0 1 1 1 0 1 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 1 0 0 0 1 1 1 1 0 0 1 1 1 1 1 0 1 1 0 0 1 0 0 1 1 0 1 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 0 0 0 1 1 0 1 0 1 0 0 1 0 1 1 1 1 0 1 0 0 0 1 1 0 1 1 1 1 0 0 1 1 1 0 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 0 1 0 1 0 1 1 1 0 1 0 1 1 1 0 0 0 1 1 1 0 0 1 1 1 0 0 1 1 1 0 1 0 1 0 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
obRow  0 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 5 6 5 4 4 4 4 4 4 4 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 8 8 8 8 8 9 9 9 9 9 9 9 10 10 10 10 10 11 11 11 11 12 12 12 12 12
obCol  1 2 0 3 4 4 0 2 3 5 7 8 9 9 10 11 13 1 5 8 10 14 0 1 2 3 4 7 8 9 10 13 14 0 1 2 8 14 1 1 0 0 1 4 5 8 10 11 2 3 4 9 10 11 14 0 2 3 5 10 11 12 13 14 1 6 7 11 12 13 14 2 11 12 13 14 0 2 6 8 12 13 14 2 3 7 8 12 0 3 11 12 3 4 5 6 10
