time 2018-08-18 22:54:18
row  40
col  40
robRow  9 15 28 29 8
robCol  36 0 25 29 9
robReachRowLst  9 14 16 17 14 15 16 15 17 14 15 13 18 16 15 17 16 17 13 15 17 16 14 13 7 17 22 23 36 8 37 35 10 15 0 38 12 39 13 2 15 4 19 20 27 6 19 28 17 32 8 20 29 18 33 9 21 10 8 17 9 38 8 11 35 9 24 12 36 1 39 37 0 38 1 39 2 3 6 30 19 7 20 16 17 7 18 33 10 8 39 11 9 24 14 12 25 15 13 37 11 0 27 1 39 28 2 5 29 3 25 4 26 31 16 30 31 11 36 13 14 10 15 26 12 27 1 39 14 29 15 4 19 6 21 8 22 5 18 16 23 8 37 9 36 10 15 0 24 38 36 39 13 37 3 4 20 21 19 28 29 16 10 34 8 32 17 9 33 38 10 8 39 9 24 10 25 39 13 2 26 39 2 24 5 3 1 25 6 19 22 31 20 16 7 18 8 11 9 14 10 26 0 38 1 39 28 2 29 6 4 19 26 7 23 6 21 17 22 18 36 13 37 9 14 36 10 15 37 11 38 12 39 13 3 15 19 20 3 27 16 7 5 9 16 17 9 10 35 0 24 38 12 36 1 39 38 3 1 39 4 6 19 7 32 29 33 9 38 10 34 39 11 9 24 14 12 25 13 37 11 0 38 3 1 39 4 28 2 24 3 25 19 26 31 5 20 16 23 30 17 22 11 35 12 9 14 12 15 26 0 12 27 1 39 29 3 6 20 21 35 18 36 8 37 35 9 36 10 37 11 36 39 2 4 19 5 20 27 16 6 28 17 7 22 32 29 9 16 10 22 9 18 38 10 8 0 24 14 38 12 1 39 13 2 26 0 38 3 1 39 5 7 34 18 33 10 34 39 9 14 12 36 10 25 15 13 37 11 38 27 1 39 4 2 24 29 3 25 6 30 4 19 7 22 16 6 23 30 17 22 11 35 18 23 12 36 13 14 15 11 38 12 27 1 39 13 28 14 29 7 20 27 21 17 8 22 16 23 36 8 35 9 10 15 11 14 38 12 39 13 37 3 19 20 27 28 17 7 32 8 20 29 18 16 17 32 9 33 10 8 39 35 9 12 36 15 39 37 26 38 27 39 2 5 3 6 2 7 22 20 16 30 34 11 18 33 8 39 11 14 10 25 26 0 38 27 39 28 2 29 3 25 6 4 19 26 7 22 5 20 16 6 30 22 35 18 12 36 13 37 14 36 10 37 11 38 1 39 13 14 29 15 4 19 27 16 21 4 7 22 5 18 16 17 37 9 36 10 15 37 11 0 24 38 36 1 39 13 37 2 0 1 4 5 21 19 28 29 33 16 34 8 32 18 38 10 39 11 24 12 10 25 15 13 2 26 0 27 1 39 4 28 2 0 24 3 1 30 19 31 20 6 21 30 22 31 11 12 9 14 26 38 1 39 28 2 29 19 26 7 21 17 35 8 13 35 9 14 15 11 38 36 39 13 3 5 20 27 16 6 21 17 7 22 32 29 9 10 8 10 0 24 14 12 25 39 13 37 2 0 38 3 39 4 2 5 21 19 7 16 34 33 10 34 8 39 11 9 14 36 10 25 13 37 0 38 3 27 1 39 4 24 5 29 3 25 6 19 26 7 22 23 6 17 22 31 11 12 13 14 25 15 11 26 39 28 15 19 8
robReachColLst  36 4 2 3 0 5 3 0 2 1 4 2 2 4 3 1 0 4 1 2 0 1 3 0 3 20 19 26 34 5 35 15 7 30 17 2 17 11 20 27 34 5 39 32 39 23 13 32 13 35 38 14 37 10 34 39 15 36 12 39 9 35 18 15 26 19 21 8 29 21 0 16 14 31 15 30 12 17 14 27 18 15 21 29 24 37 31 29 9 25 35 4 20 28 19 7 25 10 6 25 26 5 31 0 23 24 7 10 29 22 37 17 34 27 20 36 33 39 37 37 26 26 19 25 20 20 25 12 38 22 39 24 32 18 26 33 17 39 17 33 20 7 33 6 10 5 24 19 16 0 16 5 18 21 4 7 34 35 15 34 35 24 34 39 14 27 37 15 26 33 12 20 36 17 23 22 22 2 11 16 21 24 10 35 15 19 39 34 12 20 35 28 23 31 39 29 27 6 26 17 17 28 7 20 6 17 26 5 27 7 19 29 32 6 35 25 31 23 28 20 39 35 38 3 24 13 24 29 0 21 15 22 14 23 1 33 34 37 39 34 13 21 37 34 35 34 4 3 25 21 18 6 13 18 16 7 24 6 10 29 1 11 17 18 39 33 38 13 39 10 31 38 3 23 25 12 4 20 9 28 25 2 19 15 3 26 8 29 8 37 21 32 22 39 30 23 17 17 36 33 28 27 34 33 37 24 23 3 22 26 25 25 19 4 19 25 26 5 24 29 38 18 33 4 36 12 1 15 6 14 23 21 8 26 4 36 25 39 36 15 22 39 14 23 21 34 38 32 37 39 15 10 39 34 1 17 23 20 11 4 15 22 1 14 21 22 13 30 8 8 31 2 12 35 30 30 8 29 32 21 18 6 27 18 26 11 7 26 27 17 28 1 20 10 6 39 30 23 38 0 29 16 24 5 39 19 26 38 39 18 25 36 35 25 28 39 36 38 21 16 16 8 27 21 26 13 26 22 33 23 2 26 33 27 11 32 16 32 21 35 6 14 7 4 25 9 6 3 18 10 19 22 5 38 33 38 33 12 17 36 39 15 36 11 39 38 26 8 27 15 19 37 29 18 9 30 12 3 31 20 28 25 25 13 0 16 15 39 14 34 22 30 34 33 33 28 28 26 34 7 16 16 24 31 6 23 30 22 25 4 28 25 36 6 18 26 35 7 37 19 29 21 24 37 31 37 23 33 38 36 39 27 12 27 1 18 14 24 15 24 39 21 38 25 35 35 12 25 39 26 22 38 14 34 35 32 5 11 2 27 10 11 20 17 1 17 17 4 17 20 22 10 11 0 5 34 14 35 34 39 25 36 15 28 35 38 13 39 0 24 11 23 21 14 10 17 18 1 27 12 27 15 28 11 39 36 18 38 30 23 31 16 39 21 32 26 37 35 36 25 22 29 21 5 16 27 2 26 28 33 1 30 22 39 3 34 13 2 25 28 20 12 20 9 22 0 26 38 37 14 17 39 15 20 20 33 39 33 38 10 0 22 19 10 14 18 6 15 18 20 12 25 9 28 2 14 3 32 16 13 27 34 31 11 28 23 33 2 22 13 26 21 27 8 27 3 16 14 29 2 21 9 38 12 31 20 39 3 25 36 10 38 39 37 19 24 39 37 38 39 20 28 17 17 27 18 21 37 30 9
robUnReachRowLst  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 2 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 4 4 3 4 3 5 3 3 3 3 7 8 3 5 4 5 6 4 6 4 4 4 5 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 10 10 14 11 11 12 9 10 13 13 9 9 9 9 10 10 10 10 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 13 13 13 13 13 13 13 13 13 13 13 13 13 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 15 15 16 15 15 15 15 15 15 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 18 18 18 18 31 25 24 21 20 26 25 22 21 23 32 30 28 33 31 30 29 35 31 24 21 20 22 27 23 30 31 29 30 25 22 27 33 23 31 29 36 19 24 25 21 32 22 28 27 23 28 35 34 32 19 18 24 21 22 21 23 22 31 30 29 35 31 36 20 18 24 20 26 25 27 23 32 30 33 31 30 25 26 22 27 23 30 29 28 32 34 31 36 20 25 26 28 27 32 30 29 28 34 31 19 24 26 22 21 27 32 28 33 31 30 29 35 31 31 19 25 24 21 20 25 27 32 28 31 30 29 35 24 20 18 25 24 21 26 22 27 23 34 31 29 24 25 26 28 33 32 30 29 28 35 34 19 24 22 21 27 26 32 28 27 23 29 35 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 19 19 20 19 19 19 19 19 19 19 19 19 19 19 19 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 22 22 22 22 22 22 22 22 22 22 22 22 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 24 24 24 24 24 24 24 24 24 24 25 24 24 24 24 25 25 25 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27 29 28 28 28 27 27 27 27 27 27 27 28 28 28 28 28 28 28 28 28 28 28 28 28 29 29 29 29 29 29 29 29 29 29 29 30 30 30 30 30 30 31 32 34 33 34 31 30 33 31 33 31 34 34 32 34 32 33 33 32 34 33 35 31 32 30 30 30 30 30 30 30 30 30 30 30 30 31 31 31 31 31 31 31 31 31 31 31 31 31 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 36 36 37 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 36 36 36 36 36 36 36 36 36 36 36 36 36 36 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 38 38 38 38 38 38 38 38 38 38 38 38 38 38
robUnReachColLst  0 4 8 9 11 15 16 18 24 26 27 29 28 30 31 33 34 35 32 31 34 32 32 33 31 36 37 38 7 9 13 14 18 19 20 23 27 28 29 30 35 36 37 0 1 3 9 15 18 19 23 24 25 28 29 30 33 34 35 36 37 38 2 3 7 10 11 12 13 24 27 28 29 28 30 27 29 28 31 32 33 34 35 35 35 33 36 34 35 32 34 35 34 33 35 36 37 38 3 6 11 12 13 14 20 21 22 23 26 30 31 37 38 1 4 6 7 8 9 11 13 14 16 17 18 20 21 22 24 27 29 30 31 32 36 1 2 4 8 9 10 13 16 19 20 21 27 28 29 30 31 32 33 36 38 0 4 8 9 11 16 19 22 24 25 27 28 29 30 31 32 33 34 36 38 0 1 2 8 11 13 16 21 22 24 28 29 30 31 34 36 37 0 11 12 14 16 27 28 29 31 30 31 30 31 31 30 29 31 32 31 35 37 38 14 19 20 25 28 32 33 35 37 1 5 8 10 12 13 14 19 22 24 28 29 32 38 0 1 2 5 10 12 16 19 21 23 24 26 28 29 30 32 34 35 3 4 5 12 13 16 21 25 27 28 29 30 33 2 5 7 8 9 14 15 28 29 30 32 34 35 36 37 1 6 8 8 7 9 13 15 18 20 21 23 26 31 32 35 36 5 6 7 9 10 11 16 18 22 23 26 28 36 38 5 6 7 8 9 10 16 17 21 25 26 27 29 30 31 32 33 36 0 1 3 4 6 12 4 9 7 11 1 6 6 7 2 13 5 3 8 0 8 0 5 1 12 4 3 1 10 14 15 11 16 10 12 12 4 9 2 14 2 8 8 5 2 6 9 1 11 12 12 4 4 8 7 5 5 8 7 5 6 10 11 1 7 3 4 4 10 6 2 5 13 3 0 5 0 15 13 14 2 9 14 13 15 8 8 0 8 13 0 13 3 12 4 3 2 10 10 5 3 13 5 0 6 6 9 4 4 4 4 7 1 10 6 6 2 7 16 5 13 3 10 6 2 3 1 4 9 3 9 1 13 8 8 8 0 13 15 2 14 11 1 12 12 10 11 0 3 5 11 10 2 14 6 2 9 7 5 3 7 5 5 0 8 13 5 5 7 9 12 13 15 16 19 21 22 24 26 27 32 33 34 36 37 38 0 1 1 2 3 4 10 11 12 19 21 27 31 33 37 0 2 3 9 11 13 18 19 20 25 27 28 30 31 35 36 0 1 7 11 14 16 17 18 19 20 22 23 24 28 33 36 37 38 0 1 8 11 14 18 23 29 30 32 33 36 0 1 2 3 4 14 15 16 17 18 19 22 23 24 25 27 29 30 31 32 33 34 37 9 11 12 14 15 22 26 27 29 30 30 31 32 33 34 0 6 7 14 15 16 17 19 23 29 31 33 35 1 2 4 6 7 8 10 12 16 17 19 23 24 30 37 38 2 5 6 9 13 16 17 18 17 16 17 18 22 23 24 26 32 6 9 10 11 15 19 20 23 30 31 36 37 38 1 4 10 13 15 16 18 19 20 24 32 4 7 9 11 12 17 19 19 21 18 17 23 18 21 18 17 22 22 19 21 16 22 24 23 18 20 19 19 20 23 19 20 21 22 23 24 25 26 28 31 35 38 1 3 17 21 24 25 26 29 32 34 35 36 38 3 7 9 12 14 15 16 17 20 24 25 29 30 31 32 37 38 0 2 6 7 8 9 10 11 12 14 15 16 20 22 25 32 33 35 36 37 3 6 7 8 9 11 10 12 13 14 15 18 23 24 25 26 27 30 32 37 38 7 7 8 7 8 9 10 11 16 17 18 20 21 22 23 24 27 28 30 31 32 34 36 0 1 5 6 9 14 19 22 23 24 25 28 31 32 2 3 4 5 6 8 9 11 12 13 15 17 19 23 24 29 30 34 37 5 7 9 10 11 13 18 22 26 27 29 32 36 37
grid  0 1 1 1 0 1 1 1 0 0 1 0 1 1 1 0 0 1 0 1 1 1 1 1 0 1 0 0 1 1 0 0 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 0 1 1 1 0 0 0 1 1 0 1 1 1 0 0 0 0 1 1 1 1 0 0 0 1 1 0 0 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 1 1 0 0 1 1 1 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1 0 0 0 0 1 0 1 0 1 1 1 1 0 1 1 0 1 1 1 1 0 0 1 0 1 1 1 1 1 0 0 0 0 1 1 0 1 1 1 0 0 1 1 1 1 1 0 0 1 1 0 1 1 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 1 0 1 0 1 0 0 1 1 1 0 1 1 1 1 0 0 1 0 1 1 1 0 0 0 1 1 0 1 1 0 1 1 0 0 0 1 1 1 1 1 0 0 0 0 0 1 0 1 1 0 1 0 1 0 1 1 1 0 1 1 1 0 0 1 0 1 1 1 1 0 1 1 0 1 1 0 1 0 0 1 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 0 1 1 1 1 1 0 0 1 0 1 0 1 1 0 1 1 1 1 0 0 1 0 1 1 1 0 1 0 0 1 1 0 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 1 1 1 0 1 1 0 1 1 1 0 0 1 0 1 0 1 1 1 0 1 1 1 0 1 1 0 1 0 1 0 0 0 1 1 1 1 0 1 1 0 1 0 1 1 1 0 0 1 1 0 1 1 1 1 1 0 1 0 0 0 1 1 0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 0 0 1 1 0 1 1 1 1 0 1 1 1 0 1 0 0 0 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 0 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 1 0 0 0 0 1 1 1 0 1 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 1 0 0 1 0 1 1 0 1 1 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 0 1 1 1 0 0 1 1 0 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 0 0 0 1 0 1 1 1 1 1 0 0 1 1 1 0 1 1 1 0 1 0 1 0 0 0 0 0 1 1 0 1 1 1 0 0 1 0 0 1 1 0 1 0 1 1 0 0 1 0 0 1 1 0 1 0 0 1 0 1 0 0 1 1 1 1 0 1 0 1 0 0 0 1 0 1 0 0 0 1 1 1 1 1 0 0 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 0 1 1 0 1 0 0 1 1 1 1 1 0 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 0 1 0 0 1 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1 1 1 0 1 1 1 1 0 1 1 0 0 0 1 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 0 0 1 1 1 1 1 1 0 1 1 1 0 0 1 0 1 1 0 0 0 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 0 0 1 0 1 1 1 0 1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 0 0 1 0 1 0 0 0 1 0 1 0 1 1 1 0 0 1 0 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 0 1 1 0 0 1 1 0 1 1 1 0 1 1 0 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 1 1 1 0 1 1 1 0 0 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 0 0 0 1 1 0 1 1 0 1 1 1 1 1 0 1 1 0 1 0 0 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 1 0 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 1 0 1 1 1 1 0 1 1 1 0 1 0 1 1 0 1 0 0 0 0 1 1 0 1 1 1 0 0 1 1 1 0 0 0 0 1 1 1 1 0 0 1 0 1 0 1 1 1 0 0 0 1 0 0 0 1 0 1 0 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 0 0 1 0 0 0 1 1 1 1 1 0 1 1 0 1 0 0 1 1 0 0 0 0 1 1 0 1 1 1 1 0 0 0 0 0 1 1 0 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 0 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 1 0 1 1 1 0 0 1 1 1 0 0 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 0 0 0 0 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 1 0 1 0 1 1 1 0 0 1 1 1 1 0 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 0 1 0 0 0 1 0 1 1 1 1 0 1 1 1 0 1 1 1 0 0 1 0 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
obRow  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 2 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 4 4 3 4 3 5 3 3 3 3 7 8 3 5 4 5 6 4 6 4 4 4 5 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 10 10 14 11 11 12 9 10 13 13 9 9 9 9 10 10 10 10 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 13 13 13 13 13 13 13 13 13 13 13 13 13 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 15 15 16 15 15 15 15 15 15 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 18 18 18 18 31 25 24 21 20 26 25 22 21 23 32 30 28 33 31 30 29 35 31 24 21 20 22 27 23 30 31 29 30 25 22 27 33 23 31 29 36 19 24 25 21 32 22 28 27 23 28 35 34 32 19 18 24 21 22 21 23 22 31 30 29 35 31 36 20 18 24 20 26 25 27 23 32 30 33 31 30 25 26 22 27 23 30 29 28 32 34 31 36 20 25 26 28 27 32 30 29 28 34 31 19 24 26 22 21 27 32 28 33 31 30 29 35 31 31 19 25 24 21 20 25 27 32 28 31 30 29 35 24 20 18 25 24 21 26 22 27 23 34 31 29 24 25 26 28 33 32 30 29 28 35 34 19 24 22 21 27 26 32 28 27 23 29 35 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 19 19 20 19 19 19 19 19 19 19 19 19 19 19 19 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 22 22 22 22 22 22 22 22 22 22 22 22 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 24 24 24 24 24 24 24 24 24 24 25 24 24 24 24 25 25 25 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27 29 28 28 28 27 27 27 27 27 27 27 28 28 28 28 28 28 28 28 28 28 28 28 28 29 29 29 29 29 29 29 29 29 29 29 30 30 30 30 30 30 31 32 34 33 34 31 30 33 31 33 31 34 34 32 34 32 33 33 32 34 33 35 31 32 30 30 30 30 30 30 30 30 30 30 30 30 31 31 31 31 31 31 31 31 31 31 31 31 31 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 35 36 36 37 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 36 36 36 36 36 36 36 36 36 36 36 36 36 36 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 38 38 38 38 38 38 38 38 38 38 38 38 38 38
obCol  0 4 8 9 11 15 16 18 24 26 27 29 28 30 31 33 34 35 32 31 34 32 32 33 31 36 37 38 7 9 13 14 18 19 20 23 27 28 29 30 35 36 37 0 1 3 9 15 18 19 23 24 25 28 29 30 33 34 35 36 37 38 2 3 7 10 11 12 13 24 27 28 29 28 30 27 29 28 31 32 33 34 35 35 35 33 36 34 35 32 34 35 34 33 35 36 37 38 3 6 11 12 13 14 20 21 22 23 26 30 31 37 38 1 4 6 7 8 9 11 13 14 16 17 18 20 21 22 24 27 29 30 31 32 36 1 2 4 8 9 10 13 16 19 20 21 27 28 29 30 31 32 33 36 38 0 4 8 9 11 16 19 22 24 25 27 28 29 30 31 32 33 34 36 38 0 1 2 8 11 13 16 21 22 24 28 29 30 31 34 36 37 0 11 12 14 16 27 28 29 31 30 31 30 31 31 30 29 31 32 31 35 37 38 14 19 20 25 28 32 33 35 37 1 5 8 10 12 13 14 19 22 24 28 29 32 38 0 1 2 5 10 12 16 19 21 23 24 26 28 29 30 32 34 35 3 4 5 12 13 16 21 25 27 28 29 30 33 2 5 7 8 9 14 15 28 29 30 32 34 35 36 37 1 6 8 8 7 9 13 15 18 20 21 23 26 31 32 35 36 5 6 7 9 10 11 16 18 22 23 26 28 36 38 5 6 7 8 9 10 16 17 21 25 26 27 29 30 31 32 33 36 0 1 3 4 6 12 4 9 7 11 1 6 6 7 2 13 5 3 8 0 8 0 5 1 12 4 3 1 10 14 15 11 16 10 12 12 4 9 2 14 2 8 8 5 2 6 9 1 11 12 12 4 4 8 7 5 5 8 7 5 6 10 11 1 7 3 4 4 10 6 2 5 13 3 0 5 0 15 13 14 2 9 14 13 15 8 8 0 8 13 0 13 3 12 4 3 2 10 10 5 3 13 5 0 6 6 9 4 4 4 4 7 1 10 6 6 2 7 16 5 13 3 10 6 2 3 1 4 9 3 9 1 13 8 8 8 0 13 15 2 14 11 1 12 12 10 11 0 3 5 11 10 2 14 6 2 9 7 5 3 7 5 5 0 8 13 5 5 7 9 12 13 15 16 19 21 22 24 26 27 32 33 34 36 37 38 0 1 1 2 3 4 10 11 12 19 21 27 31 33 37 0 2 3 9 11 13 18 19 20 25 27 28 30 31 35 36 0 1 7 11 14 16 17 18 19 20 22 23 24 28 33 36 37 38 0 1 8 11 14 18 23 29 30 32 33 36 0 1 2 3 4 14 15 16 17 18 19 22 23 24 25 27 29 30 31 32 33 34 37 9 11 12 14 15 22 26 27 29 30 30 31 32 33 34 0 6 7 14 15 16 17 19 23 29 31 33 35 1 2 4 6 7 8 10 12 16 17 19 23 24 30 37 38 2 5 6 9 13 16 17 18 17 16 17 18 22 23 24 26 32 6 9 10 11 15 19 20 23 30 31 36 37 38 1 4 10 13 15 16 18 19 20 24 32 4 7 9 11 12 17 19 19 21 18 17 23 18 21 18 17 22 22 19 21 16 22 24 23 18 20 19 19 20 23 19 20 21 22 23 24 25 26 28 31 35 38 1 3 17 21 24 25 26 29 32 34 35 36 38 3 7 9 12 14 15 16 17 20 24 25 29 30 31 32 37 38 0 2 6 7 8 9 10 11 12 14 15 16 20 22 25 32 33 35 36 37 3 6 7 8 9 11 10 12 13 14 15 18 23 24 25 26 27 30 32 37 38 7 7 8 7 8 9 10 11 16 17 18 20 21 22 23 24 27 28 30 31 32 34 36 0 1 5 6 9 14 19 22 23 24 25 28 31 32 2 3 4 5 6 8 9 11 12 13 15 17 19 23 24 29 30 34 37 5 7 9 10 11 13 18 22 26 27 29 32 36 37
